ID,ZONAS VIBRA,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,dic-20,ene-21,feb-21,mar-21,abr-21
1,SKATE PARK,0,0,0,0,0,0,0,0,0,0,0,0,100,67550,135000,191250,247500
2,PARQUE ANDRES LOPEZ DE GALARZA,0,0,0,0,0,0,0,0,0,0,0,0,100,78800,157500,225000,292500
3,ZONA VIBRA BALTAZAR,0,0,0,0,0,0,0,0,0,0,0,0,100,66050,132000,178500,225000
4,PARQUE DE LA MUSICA,3789,3253,1300,806,668,766,703,1259,1273,1283,1756,907,100,71050,142000,197000,252000
5,PLAZA DE LA 14,34091,1750,1047,905,1032,1183,1219,1171,1191,1199,1629,1104,100,90050,180000,236250,292500
6,PLAZA BOLIVAR,0,0,0,0,989,1265,1302,1265,1280,1292,1299,682,100,97550,195000,266250,337500
7,PARQUE BARRIO LIBERTADOR,0,0,0,0,731,852,867,849,900,924,926,1477,100,74050,148000,204500,261000
8,PARQUE SANTA LIBRADA,15152,1850,1893,1260,1254,1397,1435,1382,1392,1402,1527,856,100,65050,130000,209000,288000
9,PLAZOLETA DARIO ECHANDIA,0,0,0,0,0,0,0,0,0,0,0,0,100,92550,185000,256750,328500
10,PLAZA DE LA 21,45455,1411,1503,1009,1910,1872,1902,1721,1694,1624,1730,1245,100,92550,185000,274750,364500
11,BARRIO LA ESTACION,0,0,0,0,0,0,0,0,0,0,0,0,100,82550,165000,244100,323200
12,BARRIO EDUARDO SANTOS,37879,3973,1263,971,986,1028,1061,1033,1048,1062,1324,1095,100,72550,145000,253750,362500
13,CHAPINERO,0,0,0,0,0,0,0,0,0,0,0,0,100,98050,196000,245000,294000
14,PARQUE CENTENARIO,0,0,0,0,0,0,0,0,0,0,0,0,100,92550,185000,231250,277500
15,ALASKA POLIDEPORTIVO,0,0,0,0,0,0,0,0,0,0,0,0,100,87550,175000,218750,262500
16,PARQUE DE BELEN,13889,2686,781,1365,1195,1110,1136,1165,1181,1185,1192,696,100,95050,190000,237500,285000
17,SANTA CRUZ,0,0,0,0,0,0,0,0,0,0,0,0,100,87550,175000,218750,262500
18,UNION VIVEROS,0,0,0,0,0,0,0,0,0,0,0,0,100,82550,165000,206250,247500
19,PARQUE LA ESPERANZA,0,0,0,0,0,0,0,0,0,0,0,0,100,96050,192000,240000,288000
20,BARRIO EL CARMEN,0,0,0,0,0,0,0,0,0,0,0,0,100,91650,183200,229000,274800
21,PARQUE ONZAGA,0,0,0,0,0,0,0,0,0,0,0,0,100,86050,172000,215000,258000
22,BARRIO GAITAN,16415,13982,888,1586,1329,1513,2384,1423,1436,1454,1014,791,100,81300,162500,203150,243800
23,BARRIO SAN LUIS,0,0,0,0,0,0,0,0,0,0,0,0,100,86550,173000,302750,432500
24,JORDAN 7 ETAPA,0,0,0,0,0,0,0,0,0,0,0,0,100,96050,192000,240000,288000
25,MACADAMIA,0,0,0,0,0,0,0,0,0,0,0,0,100,89150,178200,222750,267300
26,JORDAN 9 ETAPA,0,0,0,0,0,0,0,0,0,0,0,0,100,71450,142800,178500,214200
27,JORDAN 8 ETAPA,0,0,0,0,0,0,0,0,0,0,0,0,100,76950,153800,192250,230700
28,BARRIO EL TRIUNFO,31567,6551,910,2006,1163,1271,1317,1248,1270,1284,1330,1119,100,91800,183500,229400,275300
29,BARRIO CIRUELOS,11364,3070,1042,988,1030,1268,1304,1225,1306,1326,1458,925,100,82150,164200,205250,246300
30,BARRIO LOS ANGELES,0,0,0,0,0,0,0,0,0,0,0,0,100,92200,184300,230400,276500
31,SAN ANTONIO- EL OASIS,15152,3000,2549,862,868,962,996,993,1010,1036,1750,1239,100,82450,164800,206000,247200
32,PARQUE SALADO,10102,2981,971,971,1357,1384,1420,1303,1306,1312,1693,1190,100,96200,192300,240400,288500
33,PLAZA DEL SALADO,0,0,0,0,0,0,0,0,0,0,0,0,100,97650,195200,244000,292800
34,VILLA CLARA SALADO,31567,2112,1272,1578,1042,1134,1126,1291,1298,1314,1043,927,100,91350,182600,228250,273900
35,BARRIO NAZARETH 2 POLIDEPORTIVO,35353,13134,914,1063,687,799,845,879,901,1720,1044,915,100,92750,185400,231750,278100
36,BARRIO SANTA CATALINA 2,0,0,0,0,632,802,830,814,852,861,868,1307,100,83750,167400,209250,251100
37,BARRIO NAZARETH 1,36617,2275,2908,2362,1266,1987,2589,1713,1694,1684,1691,1354,100,67650,135200,169000,202800
38,BARRIO MODELIA,23990,11229,1286,2271,2105,2181,1115,1891,1691,1779,1293,839,100,82550,165000,206250,247500
39,LA CEIBITA,22727,1152,1389,1297,838,822,889,887,908,916,1287,999,100,86050,172000,215000,258000
40,PARQUE ALAMOS,0,0,0,0,0,0,0,0,0,0,0,0,100,90050,180000,225000,270000
41,PARQUE SAN LUIS GONZAGA,0,0,0,0,0,0,0,0,0,0,0,0,100,82700,165300,206650,248000
42,PEDRO VILLAMARIN,0,0,0,0,0,0,0,0,0,0,0,0,100,72850,145600,182000,218400
43,PARQUE CHICO,0,0,0,0,0,0,0,0,0,0,0,0,100,82000,163900,204900,245900
44,PARQUE SAN PABLO,0,0,0,0,0,0,0,0,0,0,0,0,100,91300,182500,228150,273800
45,PARQUE NUEVA CASTILLA,0,0,0,0,598,792,823,1781,1649,1665,1678,1154,100,86350,172600,215750,258900
46,PLAZA DEL JARDIN,18939,2601,632,914,1991,1758,1791,1640,1630,1640,964,640,100,98050,196000,245000,294000
47,TULIO VARON,0,0,0,0,0,0,0,0,0,0,0,0,100,93750,187400,234250,281100
48,SIMON BOLIVAR,0,0,0,0,0,0,0,0,0,0,0,0,100,92500,184900,231150,277400
49,PARQUE PROTECHO TOPACIO,0,0,0,0,0,0,0,0,0,0,0,0,100,89300,178500,223150,267800
50,PARQUE VIBRA PALERMO,0,0,0,0,0,0,0,0,0,0,0,0,100,81450,162800,203500,244200
51,TOLIMA GRANDE,0,0,0,0,0,0,0,0,0,0,0,0,100,78500,156900,196150,235400
52,RINCON DE LAS AMERICAS,32827,1556,1892,634,1832,1768,1804,1741,1796,1685,1546,1053,100,74500,148900,186150,223400
53,SECTOR PICALENA,15152,1449,1001,1197,865,980,1036,935,1716,1736,1685,1075,100,81500,162900,203600,244300
54,BARRIO JORDAN PRIMERA ETAPA,23990,14936,2767,2573,1045,2305,1420,1630,1778,1689,1341,1123,100,76850,153600,192000,230400
55,PARQUE SANTA RITA,0,0,0,0,0,0,0,0,0,0,0,0,100,91500,182900,228650,274400
56,PARQUE CIUDADELA COMFENALCO,0,0,0,0,658,765,804,751,763,778,782,403,100,74500,148900,186150,223400
57,BARRIO JORDAN SEGUNDA ETAPA,0,0,0,0,0,0,0,0,0,0,0,0,100,68850,137600,172000,206400
58,BARRIO JORDAN TERCERA ETAPA,0,0,0,0,0,0,0,0,0,0,0,0,100,71250,142400,178000,213600
59,BARRIO BELLO HORIZONTE Y BARRIO SANTARITA,0,0,0,0,0,0,0,0,0,0,0,0,100,76950,153800,192250,230700
60,PARQUE BOCANEME,17677,4073,858,1262,807,1865,1053,1588,1862,1760,761,428,100,74500,148900,186150,223400
61,PARQUE DEPORTIVO,0,0,0,0,0,0,0,0,0,0,0,0,100,94850,189600,331800,474000
62,PARQUE EL MOHAN,51767,1465,1404,1131,1256,1180,1202,1254,1261,1273,1190,698,100,94550,189000,330750,472500
63,PLAZA DE LA 28,27778,2064,809,903,1582,1469,1494,1498,1508,1521,1630,1193,100,95350,190600,333550,476500
64,PARQUE LINEAL  AV. FERROCARRIL,0,0,0,0,0,0,0,0,0,0,0,0,100,84050,168000,210000,252000
65,BARRIO SANTANDER,31564,3992,1169,803,897,937,90,933,989,1007,1322,1090,100,79350,158600,277550,396500
66,BARRIO HIPODROMO,0,0,0,0,0,0,0,0,0,0,0,0,100,86850,173600,217000,260400
67,EL BOSQUE PARTE BAJA,0,0,0,0,0,0,0,0,0,0,0,0,100,93000,185900,325350,464800
68,LA CARTAGENA,0,0,0,0,0,0,0,0,0,0,0,0,100,89500,178900,313100,447300
69,VILLA DEL RIO,0,0,0,0,0,0,0,0,0,0,0,0,100,70350,140600,175750,210900
70,REFUGIO 2,0,0,0,0,0,0,0,0,0,0,0,0,100,67550,135000,168750,202500
71,REFUGIO 1,0,0,0,0,0,0,0,0,0,0,0,0,100,68050,136000,170000,204000
72,BARRIO AMERICA-CEMENTERIO,75758,2532,1122,1001,797,985,999,936,949,954,842,591,100,71350,142600,178250,213900
73,ESTADIO MURILLO TORO,0,0,0,0,0,0,0,0,0,0,0,0,100,94850,189600,265450,341300
74,EL BOSQUE PARTE ALTA,5051,2920,1299,1269,780,875,921,897,949,956,1752,1286,100,88450,176800,221000,265200
75,MARTIRES,0,0,0,0,0,0,0,0,0,0,0,0,100,81300,162500,203150,243800
76,REFUGIO SECTOR MARTINICA,23989,1358,1913,1308,766,808,863,810,824,830,918,1385,100,79500,158900,198650,238400
77,ROSA BADILLO,0,0,0,0,0,0,0,0,0,0,0,0,100,81350,162600,317050,471500
78,EL PENON,0,0,0,0,0,0,0,0,0,0,0,0,100,68050,136000,170000,204000
79,BARRIO SAN JOSE,20207,1630,2504,782,691,730,798,1817,1520,1534,1796,1377,100,65550,131000,163750,196500
80,PARQUE MITOS Y LEYENDAS,0,0,0,0,0,0,0,0,0,0,0,0,100,91050,182000,273000,364000
81,PARQUE BARRIO YULDAIMA,15152,1151,736,1078,599,1054,1534,1466,1473,1484,920,666,100,72650,145200,239600,334000
82,BARRIO LA MATALLANA,15152,3155,1711,1266,853,1009,2301,1012,1032,1043,1244,746,100,69850,139600,174500,209400
83,DIVINO NINO,0,0,0,0,0,0,0,0,0,0,0,0,100,86350,172600,215750,258900
84,VILLA LUCES,0,0,0,0,0,0,0,0,0,0,0,0,100,84500,168900,211150,253400
85,COLONIAS ASPROVI,0,0,0,0,0,0,0,0,0,0,0,0,100,81300,162500,203150,243800
86,MURILLO TORO,0,0,0,0,0,0,0,0,0,0,0,0,100,91450,182800,319900,457000
87,VILLA RICAURTE,0,0,0,0,0,0,0,0,0,0,0,0,100,71050,142000,177500,213000
88,PARQUE DANUBIO,7577,2630,988,644,955,1106,1161,1144,1171,1182,1203,709,100,72550,145000,181250,217500
89,SAN ISIDRO,0,0,0,0,0,0,0,0,0,0,0,0,100,69350,138600,173250,207900
90,BARRIO FLORIDA,37878,4098,1590,855,987,1088,2485,2003,1730,1749,1072,827,100,67850,135600,169500,203400
91,BARRIO BOQUERON,0,0,0,0,0,0,0,0,0,0,0,0,100,89350,178600,312550,446500
92,DANTAS,0,0,0,0,0,0,0,0,0,0,0,0,100,89500,178900,223650,268400
93,LAURELES,0,0,0,0,0,0,0,0,0,0,0,0,100,92550,185000,231250,277500
94,VEREDA PUERTO COCORA,0,0,0,0,0,0,0,0,0,0,0,0,100,67950,135800,169750,203700
95,VEREDA ALTAMIRA - RESGUARDO LA COMUNIDAD INDIGENA AGUAS FRIAS,0,0,0,0,366,690,710,749,866,882,884,566,100,68500,136900,171150,205400
96,VEREDA COELLO - COCORA,0,0,0,0,757,997,946,995,1017,1036,1038,794,100,71300,142500,178150,213800
97,TAPIAS,30304,2721,935,788,785,898,943,916,962,976,1485,967,100,92850,185600,232000,278400
98,TOCHE,0,0,0,0,0,0,0,0,0,0,0,0,100,83550,167000,233800,300600
99,TOCHE,16415,2982,982,977,865,952,994,937,883,891,617,489,100,92000,183900,266650,349400
100,TOCHE,0,0,0,0,0,0,0,0,0,0,0,0,100,94000,187900,234900,281900
101,TOCHE,0,0,0,0,0,0,0,0,0,0,0,0,100,82650,165200,206500,247800
102,TOCHE,0,0,0,0,0,0,0,0,0,0,0,0,100,91350,182600,228250,273900
103,CERRO MACHIN,0,0,0,0,323,496,521,519,555,578,577,300,100,88500,176900,221150,265400
104,SECTOR DE JUNTAS (CANON DEL COMBEIMA),0,0,0,0,0,0,0,0,0,0,0,0,100,87200,174300,260600,346900
105,VILLA RESTREPO,56816,2038,874,866,496,531,577,555,600,614,937,717,100,82200,164300,236600,308900
106,LLANITOS,30302,4498,1910,1070,1028,1200,1236,1208,1269,1286,1281,923,100,91300,182500,252750,323000
107,PASTALES PARTE BAJA,0,0,0,0,0,0,0,0,0,0,0,0,100,90150,180200,260400,340600
108,LA PLATICA,0,0,0,0,0,0,0,0,0,0,0,0,100,88150,176200,204400,232600
109,ASTILLEROS,0,0,0,0,0,0,0,0,0,0,0,0,100,89050,178000,186900,195800
110,CAY CASCADA,0,0,0,0,0,0,0,0,0,0,0,0,100,82150,164200,200300,236400
111,CAY CASCADA  ESCUELA,0,0,0,0,0,0,0,0,0,0,0,0,100,89500,178900,208450,238000
112,VEREDA CAY PARTE BAJA,0,0,0,0,0,0,0,0,0,0,0,0,100,90050,180000,250200,320400
113,TOTUMO - RODEO ZONA SALITRE,0,0,0,0,680,660,900,856,910,924,930,600,100,88150,176200,220250,264300
114,EL RODEO,0,0,0,0,0,0,0,0,0,0,0,0,100,84750,169400,211750,254100
115,VEREDA CHUCUNI,,0,0,0,0,0,0,0,0,0,0,0,0,100,65050,130000,216450
116,VEREDA CHUCUNI,50506,3170,803,796,796,848,897,899,920,927,967,734,100,89050,178000,295500,413000
117,VEREDA BERLIN CANON COMBEIMA,29042,5054,780,544,707,873,902,867,897,919,982,787,100,90050,180000,269100,358200
118,SAN JUAN DE LA CHINA PARQUE PRINCIPAL,0,0,0,0,0,0,0,0,0,0,0,0,100,86650,173200,216500,259800
119,VEREDA LA COQUETA,0,0,0,0,0,0,0,0,0,0,0,0,100,81650,163200,204000,244800
120,VEREDA EL CURAL - LA TIGRERA,0,0,0,0,0,0,0,0,0,0,0,0,100,86050,172000,215000,258000
121,VEREDA SAN FRANCISCO,0,0,0,0,0,0,0,0,0,0,0,0,100,82650,165200,206500,247800
122,VEREDA AURES DE SAN JUAN DE LA CHINA,0,0,0,0,0,0,0,0,0,0,0,0,100,89150,178200,245900,313600
