X,Y,COD_DANE_A,DPTO_CCDGO,MPIO_CCDGO,MPIO_CDPMP,CLAS_CCDGO,SETR_CCDGO,SETR_CCNCT,SECR_CCDGO,SECR_CCNCT,ZU_CCDGO,ZU_CDIVI,SETU_CCDGO,SETU_CCNCT,SECU_CCDGO,SECU_CCNCT,MANZ_CCDGO,AG_CCDGO,DATO_ANM,VERSION,AREA,LATITUD,LONGITUD,DENSIDAD,CTNENCUEST,TP3_1_SI,TP3_2_NO,TP3A_RI,TP3B_TCN,TP4_1_SI,TP4_2_NO,TP9_1_USO,TP9_2_USO,TP9_3_USO,TP9_4_USO,TP9_2_1_MI,TP9_2_2_MI,TP9_2_3_MI,TP9_2_4_MI,TP9_2_9_MI,TP9_3_1_NO,TP9_3_2_NO,TP9_3_3_NO,TP9_3_4_NO,TP9_3_5_NO,TP9_3_6_NO,TP9_3_7_NO,TP9_3_8_NO,TP9_3_9_NO,TP9_3_10_N,TP9_3_99_N,TVIVIENDA,TP14_1_TIP,TP14_2_TIP,TP14_3_TIP,TP14_4_TIP,TP14_5_TIP,TP14_6_TIP,TP15_1_OCU,TP15_2_OCU,TP15_3_OCU,TP15_4_OCU,TP16_HOG,TP19_EE_1,TP19_EE_2,TP19_EE_E1,TP19_EE_E2,TP19_EE_E3,TP19_EE_E4,TP19_EE_E5,TP19_EE_E6,TP19_EE_E9,TP19_ACU_1,TP19_ACU_2,TP19_ALC_1,TP19_ALC_2,TP19_GAS_1,TP19_GAS_2,TP19_GAS_9,TP19_RECB1,TP19_RECB2,TP19_INTE1,TP19_INTE2,TP19_INTE9,TP27_PERSO,PERSONAS_L,PERSONAS_S,TP32_1_SEX,TP32_2_SEX,TP34_1_EDA,TP34_2_EDA,TP34_3_EDA,TP34_4_EDA,TP34_5_EDA,TP34_6_EDA,TP34_7_EDA,TP34_8_EDA,TP34_9_EDA,TP51PRIMAR,TP51SECUND,TP51SUPERI,TP51POSTGR,TP51_13_ED,TP51_99_ED,CD_LC_CM,NMB_LC_CM,TP_LC_CM,Shape_Leng,Shape_Area,COD_RDTM,PORC_VIVIENDA,PORC_OTROSUSOS,PORC_ENERGIA,PORC_E1,PORC_E2,PORC_E3,PORC_E4,PORC_E5,PORC_E6,PORC_ACUE,PORC_ALC,PORC_GAS,PORC_INTE,PORC_BAS,PORC_H,PORC_M,PORC_0_9,PORC_10_19,PORC_20_29,PORC_30_39,PORC_40_49,PORC_50_59,PORC_60_69,PORC_70_79,PORC_80,PORC_PREE,PORC_SEC,PORC_0_TP,PORC_POST,PORC_NIN
-75.25168195,4.452864009,7300110000000000010105,73,1,73001,1,0,730011000,0,73001100000,0,73001000,1,730011000000000001,1,73001100000000000101,5,809719,MANZANA,2018,4111.836811,4.452866898,-75.25168031,0.024806432,50,0,50,0,0,0,50,48,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49,22,10,16,0,0,1,43,1,1,4,43,43,0,39,4,0,0,0,0,0,41,2,39,4,30,11,2,43,0,3,38,2,102,0,102,50,52,11,20,11,20,13,11,9,4,3,37,0,8,0,6,5,1,COMUNA 01,Comuna,0.003250518904,3.35E-07,730011010000000000010105,98,2,87.8,79.6,8.2,0,0,0,0,83.7,79.6,61.2,6.1,87.8,49,51,10.8,19.6,10.8,19.6,12.7,10.8,8.8,3.9,2.9,36.3,0,7.8,0,5.9
-75.24796076,4.449706098,7300110000000000010108,73,1,73001,1,0,730011000,0,73001100000,0,73001000,1,730011000000000001,1,73001100000000000101,8,809720,MANZANA,2018,2308.702589,4.449701469,-75.24797765,0.0615064062,69,0,69,0,0,0,69,67,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,67,10,57,0,0,0,0,61,0,2,4,61,61,0,0,1,4,55,0,0,1,61,0,61,0,45,14,2,60,1,51,8,2,142,0,142,67,75,11,12,13,22,21,22,21,17,3,15,32,61,23,2,4,1,COMUNA 01,Comuna,0.00211176765,1.88E-07,730011010000000000010108,97.1,2.9,91,0,1.5,6,82.1,0,0,91,91,67.2,76.1,89.6,47.2,52.8,7.7,8.5,9.2,15.5,14.8,15.5,14.8,12,2.1,10.6,22.5,43,16.2,1.4
-75.24876533,4.448860555,7300110000000000010112,73,1,73001,1,0,730011000,0,73001100000,0,73001000,1,730011000000000001,1,73001100000000000101,12,809721,MANZANA,2018,136.4131686,4.448851516,-75.24876958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,COMUNA 01,Comuna,0.0004874163566,1.11E-08,730011990000000000010112,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-75.24906181,4.448698149,7300110000000000010113,73,1,73001,1,0,730011000,0,73001100000,0,73001000,1,730011000000000001,1,73001100000000000101,13,809722,MANZANA,2018,4877.090384,4.448692614,-75.24895468,0.0529003932,115,0,115,0,0,0,115,110,2,3,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,112,20,81,11,0,0,0,96,2,1,13,96,96,0,24,72,0,0,0,0,0,96,0,96,0,81,8,7,93,3,26,63,7,258,0,258,130,128,37,39,46,30,33,30,24,10,9,70,0,32,0,10,3,1,COMUNA 01,Comuna,0.003248255685,3.97E-07,730011010000000000010113,97.4,2.6,85.7,21.4,64.3,0,0,0,0,85.7,85.7,72.3,23.2,83,50.4,49.6,14.3,15.1,17.8,11.6,12.8,11.6,9.3,3.9,3.5,27.1,0,12.4,0,3.9
-75.25128113,4.452104284,7300110000000000010115,73,1,73001,1,0,730011000,0,73001100000,0,73001000,1,730011000000000001,1,73001100000000000101,15,809723,MANZANA,2018,1510.275947,4.452082074,-75.25123865,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,COMUNA 01,Comuna,0.001463821891,1.23E-07,730011990000000000010115,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-75.24892556,4.449592881,7300110000000000010135,73,1,73001,1,0,730011000,0,73001100000,0,73001000,1,730011000000000001,1,73001100000000000101,35,809726,MANZANA,2018,7849.893664,4.449675235,-75.24906397,0.0253506618,87,0,87,0,0,0,87,82,0,5,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,82,29,45,8,0,0,0,71,2,1,8,71,71,0,20,22,26,3,0,0,0,71,0,71,0,64,5,2,70,1,38,31,2,199,0,199,81,118,27,26,35,32,19,25,16,13,6,35,0,61,0,3,3,1,COMUNA 01,Comuna,0.005474204155,6.39E-07,730011010000000000010135,94.3,5.7,86.6,24.4,26.8,31.7,3.7,0,0,86.6,86.6,78,46.3,85.4,40.7,59.3,13.6,13.1,17.6,16.1,9.5,12.6,8,6.5,3,17.6,0,30.7,0,1.5
-75.2520476,4.452819481,7300110000000000010136,73,1,73001,1,0,730011000,0,73001100000,0,73001000,1,730011000000000001,1,73001100000000000101,36,809727,MANZANA,2018,4409.991121,4.452790696,-75.25200475,0.0208617201,36,0,36,0,0,0,36,32,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,34,28,0,5,0,0,1,30,0,1,3,30,30,0,11,19,0,0,0,0,0,30,0,27,3,23,2,5,30,0,7,18,5,92,0,92,46,46,14,10,21,7,13,11,10,4,2,26,0,10,0,2,3,1,COMUNA 01,Comuna,0.003515451209,3.59E-07,730011010000000000010136,94.4,5.6,88.2,32.4,55.9,0,0,0,0,88.2,79.4,67.6,20.6,88.2,50,50,15.2,10.9,22.8,7.6,14.1,12,10.9,4.3,2.2,28.3,0,10.9,0,2.2
-75.2504529,4.450270769,7300110000000000010137,73,1,73001,1,0,730011000,0,73001100000,0,73001000,1,730011000000000001,1,73001100000000000101,37,809728,MANZANA,2018,14130.79,4.450024814,-75.25050714,0.00360914,31,0,31,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,19,4,4,0,0,4,26,2,0,3,26,21,5,18,2,0,1,0,0,0,22,4,20,6,3,17,6,25,1,3,17,6,51,0,51,28,23,6,5,7,7,6,8,9,1,2,0,0,3,0,3,7,1,COMUNA 01,Comuna,0.007091789559,1.15E-06,730011010000000000010137,100,0,67.7,58.1,6.5,0,3.2,0,0,71,64.5,9.7,9.7,80.6,54.9,45.1,11.8,9.8,13.7,13.7,11.8,15.7,17.6,2,3.9,0,0,5.9,0,5.9
-75.25259206,4.453754606,7300110000000000010140,73,1,73001,1,0,730011000,0,73001100000,0,73001000,1,730011000000000001,1,73001100000000000101,40,234750,MANZANA,2018,1188.509322,4.453754963,-75.25252649,0.025241704,15,0,15,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,12,0,0,0,0,14,0,0,1,14,14,0,9,5,0,0,0,0,0,14,0,1,13,7,3,4,14,0,1,9,4,30,0,30,14,16,5,1,6,7,3,5,1,2,0,0,0,6,0,0,4,1,COMUNA 01,Comuna,0.001811087505,9.68E-08,730011010000000000010140,100,0,93.3,60,33.3,0,0,0,0,93.3,6.7,46.7,6.7,93.3,46.7,53.3,16.7,3.3,20,23.3,10,16.7,3.3,6.7,0,0,0,20,0,0
-75.25138502,4.453026194,7300110000000000010141,73,1,73001,1,0,730011000,0,73001100000,0,73001000,1,730011000000000001,1,73001100000000000101,41,234520,MANZANA,2018,4564.434673,4.453034385,-75.25148018,0.010954259,21,0,21,0,0,0,21,14,5,2,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,12,6,1,0,0,0,18,0,0,1,18,18,0,12,6,0,0,0,0,0,18,0,18,0,14,1,3,18,0,9,6,3,50,0,50,27,23,6,6,5,1,11,9,5,5,2,0,0,15,0,3,0,1,COMUNA 01,Comuna,0.004618378854,3.72E-07,730011010000000000010141,90.5,9.5,94.7,63.2,31.6,0,0,0,0,94.7,94.7,73.7,47.4,94.7,54,46,12,12,10,2,22,18,10,10,4,0,0,30,0,6
