ID,ZONAS VIBRA,DIRECCION,Latitud,Longitud,dist_zona1,dist_zona2,dist_zona3,dist_zona4,dist_zona5,dist_zona6,dist_zona7,dist_zona8,dist_zona9,dist_zona10,dist_zona11,dist_zona12,dist_zona13,dist_zona14,dist_zona15,dist_zona16,dist_zona17,dist_zona18,dist_zona19,dist_zona20,dist_zona21,dist_zona22,dist_zona23,dist_zona24,dist_zona25,dist_zona26,dist_zona27,dist_zona28,dist_zona29,dist_zona30,dist_zona31,dist_zona32,dist_zona33,dist_zona34,dist_zona35,dist_zona36,dist_zona37,dist_zona38,dist_zona39,dist_zona40,dist_zona41,dist_zona42,dist_zona43,dist_zona44,dist_zona45,dist_zona46,dist_zona47,dist_zona48,dist_zona49,dist_zona50,dist_zona51,dist_zona52,dist_zona53,dist_zona54,dist_zona55,dist_zona56,dist_zona57,dist_zona58,dist_zona59,dist_zona60,dist_zona61,dist_zona62,dist_zona63,dist_zona64,dist_zona65,dist_zona66,dist_zona67,dist_zona68,dist_zona69,dist_zona70,dist_zona71,dist_zona72,dist_zona73,dist_zona74,dist_zona75,dist_zona76,dist_zona77,dist_zona78,dist_zona79,dist_zona80,dist_zona81,dist_zona82,dist_zona83,dist_zona84,dist_zona85,dist_zona86,dist_zona87,dist_zona88,dist_zona89,dist_zona90,dist_zona91,dist_zona92,dist_zona93,dist_zona94,dist_zona95,dist_zona96,dist_zona97,dist_zona98,dist_zona99,dist_zona100,dist_zona101,dist_zona102,dist_zona103,dist_zona104,dist_zona105,dist_zona106,dist_zona107,dist_zona108,dist_zona109,dist_zona110,dist_zona111,dist_zona112,dist_zona113,dist_zona114,dist_zona115,dist_zona116,dist_zona117,dist_zona118,dist_zona119,dist_zona120,dist_zona121,dist_zona122,dist_zona123,dist_zona124,dist_zona125,dist_zona126,dist_zona127,dist_zona128,dist_zona129,dist_zona130,dist_zona131,dist_zona132,dist_zona133,dist_zona134,dist_zona135,dist_zona136,dist_zona137,dist_zona138,dist_zona139,dist_zona140,dist_zona141,dist_zona142,dist_zona143,dist_zona144,dist_zona145,dist_zona146,dist_zona147,dist_zona148,dist_zona149,dist_zona150
1,SKATE PARK,Calle 11 con Av 8a,4.44656832,-75.23934606,0,903.2539396,846.741479,651.4904239,689.8946817,459.3456471,989.1129986,471.2488978,325.6895134,1045.106477,1360.324807,802.5625995,720.4218443,383.6190222,1179.662734,690.9450754,1175.262092,2075.363146,1455.643761,1369.263818,3466.679925,2738.117157,3311.795257,5261.231938,4213.8137,4461.6903,5074.339604,4307.325309,4391.046276,4078.208508,3643.747853,10464.25154,10409.9448,10958.93454,12244.0117,12318.72739,12055.21036,11668.86527,12432.88208,11933.43566,8423.762306,9197.009287,11560.31491,8796.52066,8906.992262,7233.071314,6915.762039,7351.748336,12508.82589,11908.39907,7684.017022,11393.23088,11831.9175,4670.76962,10434.16264,10233.04066,4919.972468,5097.144207,9897.741772,5154.966473,6679.165343,2011.743007,1943.373389,2911.060288,3021.078338,1868.286397,2919.834084,2476.049536,2565.380738,2175.482082,2166.163309,11934.10704,3027.058823,2926.048606,3163.077832,2175.482082,2004.011189,2231.571028,1269.72394,1476.694088,1449.142915,922.8354034,2296.74268,2203.054224,1357.381925,299.6885629,2134.630146,1669.383315,2885.712411,3634.834173,4630.008102,19664.91972,16181.67525,9140.015795,9624.281286,7374.646267,12334.20512,20526.19878,24804.71138,22455.60768,14987.81898,20529.76433,4629.665811,13527.8037,11742.10632,7033.193259,9613.906303,6928.737347,4817.832864,3077.866082,4574.447604,5251.021841,7366.343014,10971.71521,20188.94649,20181.53294,5488.764335,20916.88508,1623.650777,5456.649163,6287.324619,20477.60393,21534.3204,2627.572781,3630.206525,9741.493099,13469.7449,842.4023783,11561.39348,15573.56081,4882.778154,10580.59286,8655.450173,4817.832864,15176.07765,27284.4826,30720.00608,26710.09746,28318.57909,13890.39534,6967.523575,21002.38639,15239.57086,19820.92164,9739.071679,9839.587475,3442.809349,1973.262907,18500.84423,13355.76389
2,PARQUE ANDRES LOPEZ DE GALARZA,Calle 18 y 19 con Cra 3,4.4393645,-75.23550977,903.2539396,0,1253.541469,1056.55841,508.5623118,1018.833728,1657.668492,515.2575009,793.9468384,370.8674715,521.1428543,381.2628442,406.4865975,1207.010546,2070.72512,1575.853819,2076.101057,1747.313633,1145.702528,983.7568606,3082.411772,2377.309277,2959.159239,4855.29541,3743.554043,4043.479405,4619.722182,4268.950764,4302.228738,3951.178324,3411.659675,10094.3456,10045.97279,10599.94156,11891.95179,11976.7008,11707.79571,11307.61722,12087.28267,11605.02688,8076.001556,8823.230074,11210.4784,8431.086604,8408.693172,6816.742542,6413.225637,6827.033019,11639.40661,11005.67568,7217.508944,10717.33704,11108.10051,4090.730934,9740.723585,9521.77609,4361.664953,4567.523567,9168.051782,4598.227852,6028.097648,1147.554116,1274.597782,2229.313696,2248.852432,1170.408584,2044.991718,1607.028307,1671.099105,1302.80765,1290.452194,11414.57477,2252.665423,2081.216613,2364.945893,1302.80765,1254.573901,1341.933176,549.9238694,868.0643022,758.6566711,730.6060419,1501.903911,1592.3625,1152.229301,887.7216309,1689.537664,1106.871638,2653.064674,3112.177619,4310.423989,19599.7689,16155.96859,9033.222696,8734.184864,7202.245776,12837.88007,21240.08535,25503.99539,23268.02978,14211.22327,21243.9271,5397.217433,12628.70895,12619.14943,7891.953365,10486.18332,7785.543801,5590.868243,3939.912504,5433.217553,4845.834796,6466.409581,10068.7782,19860.48489,19852.95894,6313.860791,20967.50504,2455.561104,5423.182617,5954.737603,20479.91009,20724.92006,3040.932156,4218.512668,10632.28903,13510.83809,968.6618112,11535.49119,15395.75656,4675.473937,10437.09222,8265.746244,5590.868243,14997.02604,27143.98907,31155.47426,25889.93378,27504.72916,13024.81509,6074.890876,21054.66734,14341.88033,20690.64253,10593.87236,10713.04511,2595.576982,1075.136523,18536.17916,13697.47024
3,ZONA VIBRA BALTAZAR,Barrio Baltazar,4.443130023,-75.24616289,846.741479,1253.541469,0,218.0332918,751.0987309,387.4650774,506.6703149,788.6284721,592.4792795,1570.112625,1772.230027,905.0675714,853.6807336,629.9568609,1275.411744,901.8817112,1497.171404,2828.859472,2194.028681,2072.628014,4216.933042,3490.606333,4073.379986,6011.077849,4928.942136,5203.079626,5800.776672,5148.761849,5226.765459,4906.984559,4447.021412,11237.30881,11185.29796,11736.62147,13025.13584,13103.60075,12837.95955,12446.14913,13216.51111,12722.93301,9203.375215,9967.403063,12341.86738,9569.810071,9616.802362,7982.730127,7620.747177,8044.215649,12776.58088,11987.44279,8409.863359,11970.80397,12358.37919,5322.326767,10994.11227,10774.01649,5586.72285,5782.384047,10417.83879,5823.339238,7278.710918,2365.01614,2514.170515,3478.963282,3498.424755,2415.773368,3223.744552,2455.951141,2629.498911,2192.502229,2192.679972,12633.32823,3501.77867,3297.403541,3606.510904,2192.502229,1824.99655,2509.473323,1253.628669,1263.802045,1331.489229,670.7633895,2144.514633,1829.006569,812.8469241,560.6478524,1611.212904,1349.554688,2150.442224,3068.47002,3898.535179,18824.57312,15337.90412,8310.569801,9545.11836,6564.461056,11614.37287,19992.55567,24253.43269,22072.6398,14604.46947,19996.45924,5142.415669,13497.10865,11540.3896,6781.613945,9398.741286,6671.638244,4383.791176,2882.295171,4906.511825,6001.164357,7502.9399,11046.93037,20981.23505,20973.78118,5155.535557,21762.17599,1407.381675,4620.439847,5545.678839,21324.33226,21935.01288,3434.653539,4337.44217,9610.036394,14315.93446,353.2421681,12407.42017,16404.05071,4096.94426,9757.442101,9418.703392,4383.791176,16006.242,26454.7642,29965.59047,27089.38648,28709.67472,14168.16737,6919.067551,21847.58169,15374.6978,20050.63453,9466.757694,9628.21549,3802.906444,2105.33076,19346.9401,14144.98154
4,PARQUE DE LA MUSICA,Cra 1 Entre 9 y 10,4.443259176,-75.24420261,651.4904239,1056.55841,218.0332918,0,567.4215962,202.8593675,625.6374246,575.4574568,376.5928309,1360.976984,1577.496437,728.0919606,667.2556355,510.2987293,1281.754814,849.8142344,1454.001707,2610.826181,1976.001333,1855.10119,3999.025501,3272.607315,3855.348932,5793.317668,4712.470871,4985.500693,5583.890834,4940.735161,5015.924359,4694.069505,4230.371978,11019.27776,10967.26513,11518.59525,12807.13309,12885.65314,12619.97816,12228.1198,12998.5412,12505.10038,8985.37654,9749.38048,12123.87242,9351.776905,9401.343327,7765.075844,7405.417531,7829.88733,12628.40814,11878.92862,8193.290557,11769.75965,12164.64631,5110.813172,10795.29046,10577.82395,5373.950588,5568.148535,10224.6094,5610.514325,7073.678833,2184.643535,2306.642333,3274.303199,3305.293296,2210.233138,3056.936964,2349.501583,2505.735751,2074.383382,2072.428985,12418.87547,3309.022849,3119.562193,3418.559483,2074.383382,1749.482506,2342.700702,1121.101735,1182.711711,1226.860329,559.67044,2067.010149,1811.096125,829.7729739,355.3532433,1641.610525,1303.804207,2273.976815,3126.267577,4023.990199,19013.46595,15531.00527,8489.881366,9472.448907,6730.859008,11829.19778,20183.63292,24447.54501,22237.25484,14615.68677,20187.4823,5078.546848,13414.67565,11665.81034,6914.49691,9525.977687,6805.582766,4550.877974,2991.503754,4893.107123,5783.395766,7378.726373,10938.83388,20763.44232,20755.98711,5303.461557,21566.78258,1500.890583,4805.235902,5677.114508,21124.16335,21763.26577,3266.223085,4210.050787,9718.831775,14118.51992,287.1689764,12203.6415,16190.82477,4248.907293,9932.318314,9200.75633,4550.877974,15792.93628,26634.48961,30182.97269,26921.89234,28540.11265,14018.41357,6836.320949,21652.36917,15254.89845,20074.65994,9606.267572,9754.768615,3628.727502,1961.495946,19149.74185,13987.72792
5,PLAZA DE LA 14,Cra 1??ó Sur Calle 14-15,4.440362315,-75.23998277,689.8946817,508.5623118,751.0987309,567.4215962,0,582.7520757,1188.566108,236.8010476,423.2241443,852.6839239,1022.581429,162.8285803,102.9202069,853.3095622,1728.46543,1243.394309,1811.967746,2192.648484,1565.824519,1420.557967,3556.488664,2840.579831,3425.109997,5339.709823,4236.79876,4528.347561,5112.301001,4646.670403,4698.028642,4358.090392,3848.182702,10577.05089,10527.49521,11080.75181,12371.92324,12454.65802,12186.7539,11789.18472,12566.01732,12079.95978,8552.913972,9305.958644,11689.72281,8911.90333,8910.391577,7305.721907,6914.421934,7330.790944,12069.00202,11356.69978,7714.653485,11223.05,11607.34467,4597.289295,10244.78931,10023.50833,4866.826684,5070.16466,9666.769094,5103.460958,6536.189846,1617.878182,1781.673881,2737.78115,2747.469132,1678.619774,2490.642618,1850.548904,1979.174809,1560.691098,1555.478965,11919.10661,2750.769523,2552.423622,2855.861191,1560.691098,1324.70487,1776.80899,611.594223,787.0966364,770.0802822,296.0532226,1626.772379,1515.670514,772.0698401,515.3242237,1480.107297,982.2955639,2331.000288,2972.302678,4046.903802,19233.90351,15773.80877,8678.512484,9002.018059,6873.390197,12331.39204,20743.51089,25004.49222,22804.07862,14299.85555,20747.4069,5319.522425,12926.84794,12211.41494,7467.193752,10073.55785,7359.064425,5118.22913,3530.070301,5245.815504,5330.087074,6840.788149,10417.45493,20337.50046,20329.99688,5865.538926,21329.5235,2036.295131,5032.250554,5703.714671,20860.24311,21195.84471,3204.192816,4282.987986,10249.28569,13874.02022,462.7079841,11922.5467,15834.08813,4355.800178,10099.50244,8751.117303,5118.22913,15435.58027,26810.80701,30656.58447,26354.76601,27972.77255,13457.97679,6353.472485,21416.05279,14719.16806,20478.18252,10162.75734,10301.73247,3061.307505,1414.230199,18903.53578,13922.84649
6,PLAZA BOLIVAR,Centro,4.444659634,-75.24302202,459.3456471,1018.833728,387.4650774,202.8593675,582.7520757,0,643.7720594,506.3505373,243.3334143,1283.992963,1535.667922,743.7701286,669.1799972,327.9590773,1163.421311,699.1333173,1297.160769,2474.235265,1842.125967,1732.096172,3866.248547,3137.926433,3718.028532,5662.112422,4593.328821,4857.005977,5461.349775,4762.935256,4843.051004,4525.862951,4075.619794,10880.04253,10827.04825,11377.44124,12664.61018,12741.48097,12476.72485,12087.2122,12854.931,12358.81459,8843.036915,9611.086727,11981.09999,9212.201357,9286.252188,7634.711614,7291.468018,7720.473378,12642.62626,11938.5241,8072.066837,11698.53486,12108.7748,5013.559924,10729.20725,10517.34949,5271.946633,5460.090193,10170.17745,5508.155406,6994.259818,2164.916606,2227.447038,3199.922639,3257.041879,2137.190825,3054.451397,2423.411496,2560.540263,2138.226943,2134.00614,12308.06671,3261.516803,3099.613473,3380.033403,2138.226943,1856.509502,2343.697215,1182.972594,1293.295354,1315.477045,669.9608687,2169.6143,1959.166575,1007.601581,181.373377,1816.508618,1438.987796,2475.374436,3308.778624,4225.160181,19208.34283,15723.48147,8688.583328,9566.756671,6932.506957,11944.51485,20238.26748,24507.67788,22249.50095,14770.26944,20242.01641,4900.580957,13499.18295,11630.71184,6890.110728,9493.645282,6782.514543,4572.696742,2948.560571,4743.658797,5652.070599,7423.463697,10999.12487,20616.28595,20608.84927,5298.790259,21375.71368,1455.305957,5001.760162,5878.888367,20936.94133,21743.7522,3064.31972,4010.072695,9666.533733,13928.94636,459.0697242,12020.08759,16022.79964,4451.71998,10132.32666,9065.312367,4572.696742,15625.11996,26833.19368,30312.62147,26908.37945,28523.49304,14030.32465,6923.062796,21461.17246,15301.88295,19946.58625,9588.148696,9721.574936,3613.199918,1996.690791,18960.01178,13784.97678
7,PARQUE BARRIO LIBERTADOR,Barrio Libertador,4.447212786,-75.2482349,989.1129986,1657.668492,506.6703149,625.6374246,1188.566108,643.7720594,0,1149.125248,884.082131,1926.746391,2176.9504,1350.766824,1285.472836,621.8086688,852.2912004,641.5035574,1146.965215,3064.31558,2441.707359,2346.014278,4455.791575,3727.220437,4300.50726,6250.201471,5200.42981,5450.758975,6062.678783,5227.614534,5327.747829,5028.95456,4620.127638,11448.7302,11393.77762,11941.93741,13225.59147,13298.821,13036.207,12651.87338,13413.46373,12911.54297,9406.744957,10182.41365,12541.85852,9781.279222,9894.265404,8221.850872,7901.942872,8335.796716,13254.01947,12490.42282,8672.711991,12339.10941,12752.38867,5641.751305,11371.28743,11160.49955,5896.094646,6078.448111,10813.89165,6131.798215,7632.202564,2799.037932,2868.1295,3841.129629,3900.421456,2779.527409,3679.025951,2958.290628,3124.706138,2690.172446,2689.348645,12920.2139,3904.815038,3734.546385,4021.781238,2690.172446,2331.662353,2965.358585,1742.021577,1769.88474,1832.965222,1166.473693,2651.177985,2321.917407,1300.472726,804.6910557,2074.103943,1853.815239,2473.636225,3488.084082,4195.618379,18892.06515,15387.00548,8429.317304,10051.06181,6735.240243,11345.09342,19594.78054,23864.96717,21616.82943,15062.40213,19598.51955,4774.352711,14003.75279,11044.23856,6290.249535,8903.624677,6181.07558,3934.165665,2377.928402,4465.639941,6239.97977,7998.920045,11550.01318,21164.48197,21157.09101,4678.129351,21741.7481,901.0969701,4730.758458,5819.843102,21330.33442,22379.87831,3339.441744,4108.954942,9106.428203,14309.90673,855.006164,12440.56164,16510.48633,4325.259843,9890.685191,9642.435071,3934.165665,16113.74183,26559.37227,29733.59656,27541.3825,29158.2142,14643.93165,7425.73721,21826.18543,15873.25689,19567.25062,8980.901263,9132.6833,4246.112004,2586.488112,19336.97674,13977.28198
8,PARQUE SANTA LIBRADA,Cra 2??ó # 14-15,4.442313675,-75.23910401,471.2488978,515.2575009,788.6284721,575.4574568,236.8010476,506.3505373,1149.125248,0,279.3625417,787.3272121,1029.482195,331.3149882,249.4484941,704.5548321,1580.273901,1086.396928,1627.528923,2057.880295,1423.713443,1292.493425,3438.777565,2715.464608,3299.800427,5230.235811,4142.185543,4420.808136,5015.035257,4463.292063,4522.83381,4189.212083,3698.259493,10461.74071,10410.7205,10962.91863,12252.71073,12333.05736,12066.38653,11672.07208,12445.29163,11955.06788,8431.560734,9191.178462,11569.82829,8794.933985,8828.515301,7200.61412,6832.391015,7255.588663,12151.69778,11489.51988,7623.127226,11201.33964,11605.42628,4535.357063,10229.52057,10015.4307,4798.674711,4993.760008,9666.368996,5035.258067,6501.607344,1662.811512,1733.491708,2703.462772,2751.31677,1639.302681,2558.468893,2017.881326,2123.263938,1720.453981,1712.654353,11844.69981,2755.692634,2596.186344,2873.684944,1720.453981,1532.855218,1851.823699,799.3587496,1012.024491,978.225942,518.6145281,1826.02508,1747.574983,991.424158,374.5804947,1716.454352,1215.126751,2550.926895,3209.095678,4274.609001,19431.37687,15965.22356,8881.822638,9171.112871,7085.381237,12402.98374,20741.45696,25009.13461,22753.40857,14518.39108,20745.23451,5094.679356,13084.65082,12110.90822,7379.322865,9976.484615,7272.589979,5078.776171,3429.480405,5043.990414,5220.415091,6959.886951,10551.35242,20213.61735,20206.13986,5798.612313,21133.79753,1942.068507,5224.199839,5932.148052,20671.81596,21238.76858,2972.344436,4046.234758,10131.96837,13679.57277,588.087198,11738.32466,15677.27475,4572.174615,10307.78159,8640.053802,5078.776171,15278.98287,27018.69703,30750.17104,26404.68134,28019.04137,13537.83658,6517.427697,21220.08578,14837.73797,20286.69382,10080.33142,10203.70352,3110.782581,1540.185384,18710.03397,13694.75479
9,PLAZOLETA DARIO ECHANDIA,Cra 3 Entre Calle11 y 12,4.444075145,-75.24090832,325.6895134,793.9468384,592.4792795,376.5928309,423.2241443,243.3334143,884.082131,279.3625417,0,1042.682882,1304.347543,569.0185257,487.1719348,434.9969185,1313.324411,823.5343291,1389.059758,2241.049306,1607.258832,1492.948913,3631.665954,2904.045494,3485.572006,5427.083599,4353.989537,4620.799053,5223.115486,4567.810336,4640.858448,4317.903123,3854.543294,10649.05174,10596.58114,11147.49994,12435.46579,12513.30806,12248.00203,11857.14791,12626.42442,12131.94272,8613.701284,9379.572629,11752.08843,8981.346684,9046.146802,7399.464017,7051.021599,7479.108392,12431.01187,11759.92352,7833.587195,11456.05156,11868.70844,4770.532576,10487.3921,10276.44827,5029.367763,5218.373051,9930.493271,5265.629757,6751.175226,1941.296285,1984.858942,2957.591824,3020.234654,1895.485364,2837.813602,2269.330852,2387.428738,1976.216058,1969.853546,12067.07907,3024.929755,2873.849094,3146.303669,1976.216058,1745.154086,2131.023673,1033.670403,1197.335324,1191.838312,610.1778832,2049.379803,1905.568927,1032.34262,96.77784841,1816.060066,1373.687857,2561.966998,3316.555206,4305.03293,19368.45215,15890.81468,8834.868469,9422.572731,7060.927635,12184.06921,20478.68591,24749.02529,22476.67606,14708.05292,20482.4156,4925.29659,13343.55395,11832.51722,7100.008744,9697.72039,6993.247201,4805.45649,3150.676922,4826.543898,5417.091452,7234.17164,10821.33792,20390.04501,20382.5963,5520.189478,21205.70813,1662.713729,5158.031894,5962.567309,20757.95184,21514.64011,2947.991104,3954.407936,9856.327596,13755.45287,520.6690943,11834.06599,15814.47319,4563.753064,10271.59878,8832.370623,4805.45649,15416.56175,26978.31764,30547.68287,26681.70116,28295.45107,13817.19544,6772.256804,21291.49559,15112.45623,20055.3792,9800.969786,9925.028944,3388.884983,1810.293211,18786.72998,13677.30706
10,PLAZA DE LA 21,Cra 4??ó Estadio Calle 19 - 21,4.440298157,-75.23230034,1045.106477,370.8674715,1570.112625,1360.976984,852.6839239,1283.992963,1926.746391,787.3272121,1042.682882,0,350.2822375,745.3014886,755.8631423,1403.768439,2219.638599,1735.570754,2164.152888,1377.581608,787.1736484,620.2025286,2713.719513,2006.68704,2588.94144,4490.616603,3384.341333,3678.909474,4260.026999,3912.975877,3940.640011,3586.927592,3041.962737,9729.205998,9680.347589,10234.0559,11525.78645,11609.84596,11341.2687,10942.04388,11720.68796,11237.26214,7708.690426,8458.057868,10844.03839,8065.128671,8058.916446,6454.677587,6062.781683,6481.014774,11468.32703,10921.86678,6861.982251,10415.35001,10826.31319,3752.977911,9445.23817,9233.7654,4019.394658,4219.676148,8888.415108,4256.067372,5714.315867,985.9026438,946.1651263,1916.826561,1985.167442,853.2824243,1891.72734,1697.514998,1699.50522,1400.149816,1382.510046,11069.9045,1990.494803,1883.154867,2120.867703,1400.149816,1485.667771,1232.987704,862.6493617,1191.281732,1060.203258,1097.571973,1685.729554,1879.050267,1522.529108,1125.473164,2022.335144,1429.851091,3008.627664,3401.630582,4643.490703,19958.58892,16518.92456,9390.429272,8731.205887,7552.947751,13178.51063,21521.31159,25791.57911,23495.05713,14340.28808,21525.03573,5299.222537,12593.62537,12782.02522,8078.117303,10656.00086,7973.773769,5839.126393,4122.932044,5416.385123,4481.078213,6366.568752,9988.431166,19493.43895,19485.91983,6529.756317,20612.00302,2662.268858,5789.468877,6279.947942,20119.27673,20494.26772,2801.486653,4031.034292,10771.21164,13155.63174,1314.785165,11173.78749,15025.18221,5025.797961,10789.11491,7901.761818,5839.126393,14626.44215,27492.85385,31509.19353,25667.70105,27277.59288,12848.3936,6069.801455,20699.35131,14228.43025,20672.22214,10784.12269,10881.24012,2399.518163,1114.596356,18179.24282,13399.00635
